ID,visitor_id,page_id,date
66025,407453,182071,2025-03-25 07:25:04
66026,407453,182065,2025-03-25 07:25:05
66027,407454,182091,2025-03-25 07:25:07
66028,407455,182065,2025-03-25 07:37:07
66029,407456,182065,2025-03-25 07:38:31
66030,407457,182067,2025-03-25 07:39:02
66031,407458,182065,2025-03-25 07:46:58
66032,407459,182065,2025-03-25 07:53:01
66033,407460,182065,2025-03-25 13:28:15
66034,407461,182065,2025-03-25 08:07:18
66035,407461,182078,2025-03-25 08:06:45
66036,407462,182068,2025-03-25 08:12:48
66037,407463,182065,2025-03-25 08:15:16
66038,407463,182076,2025-03-25 08:15:57
66039,407464,182090,2025-03-25 08:16:41
66040,407465,182092,2025-03-25 08:18:56
66041,407465,182093,2025-03-25 08:18:58
66042,407465,182094,2025-03-25 08:18:59
66043,407466,182065,2025-03-25 08:20:47
66044,407467,182065,2025-03-25 08:29:11
66045,407467,182067,2025-03-25 08:29:15
66046,407467,182070,2025-03-25 08:29:36
66047,407468,182068,2025-03-25 08:29:40
66048,407468,182080,2025-03-25 08:29:49
66049,407469,182067,2025-03-25 08:35:59
66050,407470,182065,2025-03-25 08:47:18
66051,407470,182068,2025-03-25 08:51:30
66052,407470,182067,2025-03-25 08:48:16
66053,407471,182065,2025-03-25 08:51:19
66054,407471,182068,2025-03-25 08:51:31
66055,407470,182080,2025-03-25 08:51:34
66056,407471,182080,2025-03-25 08:52:00
66057,407472,182069,2025-03-25 09:20:54
66058,407473,182065,2025-03-25 09:30:14
66059,407474,182065,2025-03-25 10:05:40
66060,407474,182069,2025-03-25 10:05:50
66061,407475,182069,2025-03-25 10:17:01
66062,407476,182069,2025-03-25 10:45:31
66063,407477,182076,2025-03-25 11:00:33
66064,407477,182065,2025-03-25 11:03:22
66065,407478,182065,2025-03-25 11:07:09
66066,407479,182069,2025-03-25 11:16:09
66067,407479,182065,2025-03-25 11:16:14
66068,407480,182069,2025-03-25 11:23:31
66069,407480,182095,2025-03-25 11:23:32
66070,407480,182096,2025-03-25 11:23:35
66071,407481,182065,2025-03-25 11:32:37
66072,407481,182066,2025-03-25 11:32:58
66073,407482,182090,2025-03-25 11:33:05
66074,407481,182080,2025-03-25 11:35:33
66075,407481,182067,2025-03-25 11:35:53
66076,407483,182097,2025-03-25 11:36:26
66077,407483,182094,2025-03-25 11:36:27
66078,407481,182089,2025-03-25 11:37:19
66079,407481,182078,2025-03-25 11:40:27
66080,407484,182069,2025-03-25 11:47:28
66081,407485,182098,2025-03-25 11:48:42
66082,407486,182065,2025-03-25 11:53:03
66083,407487,182065,2025-03-25 11:53:08
66084,407488,182065,2025-03-25 11:58:45
66085,407488,182069,2025-03-25 12:01:19
66086,407489,182065,2025-03-25 12:17:43
66087,407489,182068,2025-03-25 12:13:54
66088,407489,182067,2025-03-25 12:15:38
66089,407490,182065,2025-03-25 12:19:44
66090,407491,182069,2025-03-25 12:53:20
66091,407492,182065,2025-03-25 12:56:20
66092,407492,182067,2025-03-25 12:56:50
66093,407493,182065,2025-03-25 14:42:28
66094,407493,182066,2025-03-25 13:02:19
66095,407493,182080,2025-03-25 13:06:43
66096,407494,182064,2025-03-25 13:07:53
66097,407495,182065,2025-03-25 13:17:18
66098,407496,182078,2025-03-25 13:16:56
66099,407497,182065,2025-03-25 13:32:39
66100,407483,182092,2025-03-25 13:49:34
66101,407498,182065,2025-03-25 13:58:08
66102,407498,182067,2025-03-25 13:58:49
66103,407499,182067,2025-03-25 14:04:55
66104,407499,182066,2025-03-25 14:07:55
66105,407500,182065,2025-03-25 14:11:18
66106,407501,182065,2025-03-25 14:11:54
66107,407500,182067,2025-03-25 14:14:50
66108,407500,182068,2025-03-25 14:15:10
66109,407500,182080,2025-03-25 14:15:14
66110,407500,182078,2025-03-25 14:16:02
66111,407502,182065,2025-03-25 14:21:47
66112,407503,182068,2025-03-25 14:23:42
66113,407504,182076,2025-03-25 14:30:21
66114,407505,182065,2025-03-25 14:41:34
66115,407506,182065,2025-03-25 14:59:58
66116,407506,182067,2025-03-25 15:00:03
66117,407506,182068,2025-03-25 15:00:15
66118,407506,182069,2025-03-25 15:00:28
66119,407507,182080,2025-03-25 15:12:27
66120,407507,182070,2025-03-25 15:12:45
66121,407507,182065,2025-03-25 15:15:50
66122,407507,182066,2025-03-25 15:15:52
66123,407508,182065,2025-03-25 15:40:49
66124,407509,182099,2025-03-25 15:58:48
66125,407509,182100,2025-03-25 15:58:48
66126,407509,182078,2025-03-25 15:58:49
66127,407509,182101,2025-03-25 15:58:51
66128,407483,182102,2025-03-25 16:07:37
66129,407510,182103,2025-03-25 16:10:27
